id,name,link,ingredients,allergensraw,allergensmapped
1,Raw kimchi,https://world.openfoodfacts.org/product/5010292961182,"chinese leaf cabbage, carrots, spring onion, sea salt, chilli powder, ginger, garlic",empty,
2,Petits Pois & Carottes,https://world.openfoodfacts.org/product/3083680482042,"vegetables peas , carrots , water, sugar, pearl onions , salt, natural flavourings",empty,
3,Organix carrot cake oats bars,https://world.openfoodfacts.org/product/5024121100499,"wholegrain oats , raisins contains sunflower oil , sunflower oil , carrot juice concentrate , agave fibre inulin , apple juice concentrate , cinnamon powder , orange oil lt,, total ",empty,
4,Carrot Cake Soft Oaty Bars,https://world.openfoodfacts.org/product/4088600042411,"organic oat flakes , organic raisin paste  organic raisins, organic sunflower oil, organic sunflower oil, organic carrot juice concentrate , organic apple juice concentrate, organic ground cinnamon",empty,
5,Carrot & butter bean,https://world.openfoodfacts.org/product/5012427141209,"water, carrots , butter beans , tomatoes onions, rapeseed oil, modified maize starch, cornflour, salt, yeast entrat parsley, sugar, ground fennel, white pepper quot,per can aim for at least  different portions of fruit or vega day f you have any comments or require more information, please contec barters food group, fochabers, scotland, iv ld ter    or please visit us at wwwbaxterscom",empty,
6,Organic Sweetcorn + Carrot Melty Sticks 7 Months,https://world.openfoodfacts.org/product/5060107339811,"organic maize flour , organic sunflower oil , organic dried sweetcorn , organic dried carrots , organic rice flour , organic dried leeks lt,, thiamin vitamin b lt,",empty,
7,Melty Carrot Puffs 7+ Months,https://world.openfoodfacts.org/product/5024121885303,"corn , carrot powder , sunflower oil , thiamin vitamin b lt,",empty,
8,Carrot & Coriander,https://world.openfoodfacts.org/product/5050179965940,"carrot , water, onion, rapeseed oil, cornflour, concentrated orange juice, coriander, salt, coriander powder, white pepper",empty,
9,Palitos de zanahoria,https://world.openfoodfacts.org/product/8422904015553,"carrot, antioxidant ascorbic acid",empty,
10,Petits Pois & Jeunes Carottes Extra Fins,https://world.openfoodfacts.org/product/3564700004784,"legumes en proportion variable jeunes carottes, petits pois extrafins, eau, sucre, sel, arome naturel",empty,
11,Carrots & Peas,https://world.openfoodfacts.org/product/20126841,"water, peas, carrots, sugar, salt,",empty,
12,Zanahoria,https://world.openfoodfacts.org/product/8480000167521,"carrot, wine vinegar, sugar, salt,",empty,
13,Tesco Carrot & Houmous,https://world.openfoodfacts.org/product/5057753900335,"carrot , cooked chickpeas  chickpeas, water, water, tahini sesame seed paste, rapeseed oil, lemon juice from concentrate garlic puree salt",empty,
14,Petits pois Carottes HVE Bien cultives d'aucy 250g,https://world.openfoodfacts.org/product/3017800503409,"legumes en proportion variable petits pois, carottes, eau, sucre, sel legumes issu dune exploitation beneficiant de la certification haute valeur environnementale ces petits pois et carottes sont cultives en france",empty,
15,Revitalise Clementine Carrot and Ginger,https://world.openfoodfacts.org/product/4061459979176,"apple juice , clementine juice , banana puree, carrot puree, peach puree, lemon juice, ginger puree, flaxseed flour, niacin, vitami vitamin b, riboflavin, thiamin, safflower extract",empty,
16,Multivitamin Fruit & Carrot Juice,https://world.openfoodfacts.org/product/20008086,"jus de pomme a base de concentre, jus dorange a base de concentre,  jus de carotte a base de concentre, jus dananas a base de concentre, puree de banane, puree de nectarine a base de concentre, jus de fruit de la passion a base de concentre, puree de goyave, jus de citron a base de concentre, puree de mangue, puree dabricot, puree dumbu, vitamine c, nicotinamide niacine, acide pantothenique, vitamine b, vitamine b thiamine, acide folique",empty,
17,Carottes extra-fines,https://world.openfoodfacts.org/product/3250390005735,"carottes extra fines, eau, sucre, sel",empty,
18,Cranberries,https://world.openfoodfacts.org/product/20150907,m ocean spray cranberries  ge   are characterized by experience,empty,
19,"Linwoods cold milled flaxseed, sunflower, pumpkin & chia seeds & goji berries",https://world.openfoodfacts.org/product/5016887003060," organic flaxseed,  organic sunflower seeds,  organic pumpkin seeds,  organic chia salvia hispanica seeds,  organic sundried goji berries, waxy maize starch allergy advice may contain sesame seeds, mustard, nuts and soya suitable for vegetarian, vegan and gluten free diets",empty,
20,"Flaxseed, Sunflower, Pumpkin & Chia Seeds & Goji Berries",https://world.openfoodfacts.org/product/5016887004999," organic flaxseed,  organic sunflower seeds,  organic pumpkin seeds,  organic chia salvia hispanica seeds,  organic sundried goji berries, waxy maize starch allergy advice may also contain sesame seeds, nuts and soya suitable for vegetarian, vegan and gluten free diets",empty,
21,Marmelade - Fruchtaufstrich Erdbeere,https://world.openfoodfacts.org/product/20270261," strawberries, sugar, lemon juice concentrate, gelling agent pectins",empty,
22,Strawberry Jam classic recipe,https://world.openfoodfacts.org/product/5000119002501,"sugar, strawberry strawberry puree, citric acid, geling agent pectin, acidity regulator trisodium citrate prepared with g of fruit per e total sugar content g per g suitable for vegans nutrition as sold per one tablespoon typical values ",empty,
23,Mix frutos rojos vermelhos,https://world.openfoodfacts.org/product/8480000610898,"fresas , moras , grosellas negras , grosellas rojas , frambuesas , arandanos silvestres ",empty,
24,Whitworth whole cranberries,https://world.openfoodfacts.org/product/5000234054485,"cranberries, sugar, sunflower oil",empty,
25,Berries and Cherries Jam,https://world.openfoodfacts.org/product/3045320094145,"frruits strawberries  , cherries  , redcurrants  , raspberries  , sugar, cane sugar, concentrated lemon juice, frut pectin",empty,
26,r's our to with 7964475 GIANT 08.25,https://world.openfoodfacts.org/product/00360067,d arts er its of our on to k with ance ,empty,
27,Haribo Berries,https://world.openfoodfacts.org/product/3103220040072,"sugar, glucose syrup, water, gelatin, gelling agent agaragar, acidifier citric acid, colouring vegetable charcoal, elderberry extract, flavouring, fruit and plant concentrates blackcurrant, elderberry, aronia, grapes, coating agents white and yellow beeswax, carnauba wax",empty,
28,Berries & Cherries Granola,https://world.openfoodfacts.org/product/00253444,"oat flakes, sugar, palm oil, cranberry concentrate , honey , coconut, freeze dried fruits  blackcurrants, blueberries, raspberries, pumpkin seeds , golden linseed, sunflower seeds",empty,
29,Perfectly imperfect Mixed berries,https://world.openfoodfacts.org/product/5057373184818,"strawberry, redcurrant, blackberry, blackcurrant",empty,
30,Tilda Steamed Brown Basmati Rice,https://world.openfoodfacts.org/product/5011157888132,"natural basmati rice  cooked , rice bran oil, salt",empty,
31,Pure Basmati Rice,https://world.openfoodfacts.org/product/5011157888101,"basmati rice , rice bran oil",empty,
32,Wholegrain Basmati & Wild Rice,https://world.openfoodfacts.org/product/5011157992662,"natural wholegrain basmati rice steamed , natural wild rice steamed , rice bran oil, acacia fibre",empty,
33,Rice Basmati,https://world.openfoodfacts.org/product/3038359007217,"long grain basmati rice,",empty,
34,Tast of - Basmati Microwave Rice,https://world.openfoodfacts.org/product/20142360," cooked basmati rice water, basmati rice, vegetable oil sunflower oil or rapeseed oil,",empty,
35,Basmati rice,https://world.openfoodfacts.org/product/4088600157924,"water, basmati rice, sunflower oil",empty,
36,Sainsburys Basmati Rice,https://world.openfoodfacts.org/product/01793697,"cooked parboiled basmati rice , vegetable oil sunflower oil, rapeseed oil, salt",empty,
37,Lime & Coriander Basmati Rice,https://world.openfoodfacts.org/product/5011157888163,"natural basmati rice  steamed , coconut cream , sunflower oil, coriander , sugar, kaffir lime peel, leaf , salt, natural flavourings",empty,
38,Wholegrain Basmati & Quinoa Rice,https://world.openfoodfacts.org/product/5011157120706,"natural brown basmati rice  steamed , natural yellow and red quinoa  steamed , sunflower oil, vegetable stock powder rice flour, salt, onions, parsnips, carrots, olive oil, turmeric, parsley, salt handling",empty,
